"code"	"data"	"source"	"analysis"	"initial_ref"
"S-62"	"seq"	"VN"	"sample"	FALSE
"S-63"	"seq"	"VN"	"sample"	FALSE
"S-64"	"seq"	"VN"	"sample"	FALSE
"S-65"	"seq"	"VN"	"sample"	FALSE
"S-66"	"seq"	"VN"	"sample"	FALSE
"S-67"	"seq"	"VN"	"sample"	FALSE
"S-68"	"seq"	"VN"	"sample"	FALSE
"S-69"	"seq"	"VN"	"sample"	FALSE
"S-70"	"seq"	"VN"	"sample"	FALSE
"S-71"	"seq"	"VN"	"sample"	FALSE
"S-72"	"seq"	"VN"	"sample"	FALSE
"S-73"	"seq"	"VN"	"sample"	FALSE
"S-74"	"seq"	"VN"	"sample"	FALSE
"S-75"	"seq"	"VN"	"sample"	FALSE
"S-76"	"seq"	"VN"	"sample"	FALSE
"S-77"	"seq"	"VN"	"sample"	FALSE
"S-78"	"seq"	"VN"	"sample"	FALSE
"S-79"	"seq"	"VN"	"sample"	FALSE
"S-80"	"seq"	"VN"	"sample"	FALSE
"S-81"	"seq"	"VN"	"sample"	FALSE
"S-82"	"seq"	"VN"	"sample"	FALSE
"S-83"	"seq"	"VN"	"sample"	FALSE
"S-84"	"seq"	"VN"	"sample"	FALSE
"S-85"	"seq"	"VN"	"sample"	FALSE
"S-86"	"seq"	"VN"	"sample"	FALSE
"S-87"	"seq"	"VN"	"sample"	FALSE
"S-88"	"seq"	"VN"	"sample"	FALSE
"S-89"	"seq"	"VN"	"sample"	FALSE
"S-90"	"seq"	"VN"	"sample"	FALSE
"S-91"	"seq"	"VN"	"sample"	FALSE
"S-92"	"seq"	"VN"	"sample"	FALSE
"S-93"	"seq"	"VN"	"sample"	FALSE
"S-94"	"seq"	"VN"	"sample"	FALSE
"S-95"	"seq"	"VN"	"sample"	FALSE
"20667_kasp"	"seq"	"AF"	NA	TRUE
"20683_kasp"	"seq"	"AF"	NA	TRUE
"20685_kasp"	"seq"	"AF"	NA	FALSE
"20009_kasp"	"seq"	"AF"	NA	FALSE
"20852_kasp"	"seq"	"AF"	NA	FALSE
"20881_kasp"	"seq"	"AF"	NA	FALSE
"20882_kasp"	"seq"	"AF"	NA	FALSE
"20808_kasp"	"seq"	"AF"	NA	FALSE
"BD65_kasp"	"seq"	"AF"	NA	FALSE
"BB53_kasp"	"seq"	"AF"	NA	FALSE
"BA58_kasp"	"seq"	"AF"	NA	FALSE
"GUI2_kasp"	"seq"	"AF"	NA	FALSE
"S15-2_kasp"	"seq"	"AF"	NA	FALSE
"DH-200-94_kasp"	"seq"	"AF"	NA	FALSE
"BC54_kasp"	"seq"	"AF"	NA	FALSE
"S/BIL4_kasp"	"seq"	"AF"	NA	FALSE
"CB52_kasp"	"seq"	"AF"	NA	FALSE
"CC53_kasp"	"seq"	"AF"	NA	FALSE
"18_00012_kasp"	"seq"	"AF"	NA	FALSE
"18_00042_kasp"	"seq"	"AF"	NA	FALSE
"16_00153_kasp"	"seq"	"AF"	NA	FALSE
"18_00099_kasp"	"seq"	"AF"	NA	FALSE
"sp59_kasp"	"seq"	"AF"	NA	FALSE
"18_00094_kasp"	"seq"	"AF"	NA	FALSE
"16_00157_kasp"	"seq"	"AF"	NA	FALSE
"16_00158_kasp"	"seq"	"AF"	NA	FALSE
"16_00161_kasp"	"seq"	"AF"	NA	FALSE
"16_00155_kasp"	"seq"	"AF"	NA	FALSE
"16_00162_kasp"	"seq"	"AF"	NA	FALSE
"16_00156_kasp"	"seq"	"AF"	NA	FALSE
"16_00239_kasp"	"seq"	"AF"	NA	FALSE
"18_00077_kasp"	"seq"	"AF"	NA	FALSE
"18_00095_kasp"	"seq"	"AF"	NA	FALSE
"16_00041_kasp"	"seq"	"AF"	NA	FALSE
"16_00114_kasp"	"seq"	"AF"	NA	FALSE
"A81_kasp"	"seq"	"AF"	NA	FALSE
"A116_kasp"	"seq"	"AF"	NA	FALSE
"E1_kasp"	"seq"	"AF"	NA	FALSE
"E92_kasp"	"seq"	"AF"	NA	FALSE
"E106a_kasp"	"seq"	"AF"	NA	FALSE
"E106b_kasp"	"seq"	"AF"	NA	FALSE
"E130_kasp"	"seq"	"AF"	NA	FALSE
"T24_kasp"	"seq"	"AF"	NA	FALSE
"T45_kasp"	"seq"	"AF"	NA	FALSE
"T116_kasp"	"seq"	"AF"	NA	FALSE
"T164_kasp"	"seq"	"AF"	NA	FALSE
"T169_kasp"	"seq"	"AF"	NA	FALSE
"T188_kasp"	"seq"	"AF"	NA	FALSE
"S-96"	"seq"	"VN"	"sample"	FALSE
"S-97"	"seq"	"VN"	"sample"	FALSE
"S-98"	"seq"	"VN"	"sample"	FALSE
"S-99"	"seq"	"VN"	"sample"	FALSE
"S-100"	"seq"	"VN"	"sample"	FALSE
